;Country;Region;Pop. Density (per sq. mi.);Infant mortality (per 1000 births);GDP ($ per capita) dollars
33;Burundi ;SUB-SAHARAN AFRICA;290,7;69.29;600.0
34;Cambodia ;ASIA (EX. NEAR EAST);76,7;71.48;1900.0
35;Cameroon ;SUB-SAHARAN AFRICA;36,5;68.26;1800.0
36;Canada ;NORTHERN AMERICA;3,3;4.75;29800.0
37;Cape Verde ;SUB-SAHARAN AFRICA;104,4;47.77;1400.0
38;Cayman Islands ;LATIN AMER. & CARIB;173,4;8.19;35000.0
39;Central African Rep. ;SUB-SAHARAN AFRICA;6,9;91.0;1100.0
40;Chad ;SUB-SAHARAN AFRICA;7,7;93.82;1200.0
41;Chile ;LATIN AMER. & CARIB;21,3;8.8;9900.0
42;China ;ASIA (EX. NEAR EAST);136,9;24.18;5000.0
43;Colombia ;LATIN AMER. & CARIB;38,3;20.97;6300.0
44;Comoros ;SUB-SAHARAN AFRICA;318,4;74.93;700.0
45;Congo, Dem. Rep. ;SUB-SAHARAN AFRICA;26,7;94.69;700.0
46;Congo, Repub. of the ;SUB-SAHARAN AFRICA;10,8;93.86;700.0
47;Cook Islands ;OCEANIA;89,1;;5000.0
48;Costa Rica ;LATIN AMER. & CARIB;79,8;9.95;9100.0
49;Cote d'Ivoire ;SUB-SAHARAN AFRICA;54,8;90.83;1400.0
50;Croatia ;EASTERN EUROPE;79,5;6.84;10600.0
51;Cuba ;LATIN AMER. & CARIB;102,7;6.33;2900.0
52;Cyprus ;NEAR EAST;;7.18;19200.0
53;Czech Republic ;EASTERN EUROPE;129,8;3.93;
54;Denmark ;WESTERN EUROPE;126,5;4.56;31100.0
55;Djibouti ;SUB-SAHARAN AFRICA;21,2;104.13;1300.0
56;Dominica ;LATIN AMER. & CARIB;91,4;14.15;5400.0
57;Dominican Republic ;LATIN AMER. & CARIB;188,5;32.38;6000.0
58;East Timor ;ASIA (EX. NEAR EAST);70,8;47.41;500.0
59;Ecuador ;LATIN AMER. & CARIB;47,8;23.66;3300.0
60;Egypt ;NORTHERN AFRICA;78,8;32.59;4000.0
61;El Salvador ;LATIN AMER. & CARIB;324,3;25.1;4800.0
62;Equatorial Guinea ;SUB-SAHARAN AFRICA;19,3;85.13;2700.0
63;Eritrea ;SUB-SAHARAN AFRICA;39,5;74.87;700.0
64;Estonia ;BALTICS;29,3;7.87;12300.0
65;Ethiopia ;SUB-SAHARAN AFRICA;66,3;95.32;700.0
66;Faroe Islands ;WESTERN EUROPE;33,8;6.24;22000.0
67;Fiji ;OCEANIA;49,6;12.62;5800.0
68;Finland ;WESTERN EUROPE;15,5;3.57;27400.0
69;France ;WESTERN EUROPE;111,3;4.26;27600.0
70;French Guiana ;LATIN AMER. & CARIB;2,2;12.07;8300.0
71;French Polynesia ;OCEANIA;65,9;8.44;17500.0
72;Gabon ;SUB-SAHARAN AFRICA;5,3;53.64;5500.0
73;Gambia, The ;SUB-SAHARAN AFRICA;145,3;72.02;1700.0
74;Gaza Strip ;NEAR EAST;3968,8;22.93;600.0
75;Georgia ;C.W. OF IND. STATES;66,9;18.59;2500.0
76;Germany ;WESTERN EUROPE;230,9;4.16;27600.0
77;Ghana ;SUB-SAHARAN AFRICA;93,6;51.43;2200.0
78;Gibraltar ;WESTERN EUROPE;3989,7;5.13;17500.0
79;Greece ;WESTERN EUROPE;81;5.53;20000.0
80;Greenland ;NORTHERN AMERICA;0;15.82;20000.0
81;Grenada ;LATIN AMER. & CARIB;260,8;14.62;5000.0
82;Guadeloupe ;LATIN AMER. & CARIB;254,4;8.6;8000.0
83;Guam ;OCEANIA;316,1;6.94;21000.0
84;Guatemala ;LATIN AMER. & CARIB;112,9;35.93;4100.0
85;Guernsey ;WESTERN EUROPE;838,6;4.71;20000.0
86;Guinea ;SUB-SAHARAN AFRICA;39,4;90.37;2100.0
87;Guinea-Bissau ;SUB-SAHARAN AFRICA;39,9;107.17;800.0
88;Guyana ;LATIN AMER. & CARIB;3,6;33.26;4000.0
89;Haiti ;LATIN AMER. & CARIB;299,4;73.45;1600.0
90;Honduras ;LATIN AMER. & CARIB;65,4;29.32;2600.0
91;Hong Kong ;ASIA (EX. NEAR EAST);6355,7;2.97;28800.0
92;Hungary ;EASTERN EUROPE;107,3;8.57;13900.0
93;Iceland ;WESTERN EUROPE;;3.31;30900.0
94;India ;ASIA (EX. NEAR EAST);333,2;56.29;2900.0
95;Indonesia ;ASIA (EX. NEAR EAST);127,9;35.6;3200.0
96;Iran ;ASIA (EX. NEAR EAST);41,7;41.58;7000.0
97;Iraq ;NEAR EAST;61,3;50.25;1500.0
98;Ireland ;WESTERN EUROPE;57,8;5.39;29600.0
99;Isle of Man ;WESTERN EUROPE;131,9;5.93;21000.0
100;Israel ;NEAR EAST;305,8;7.03;19800.0
101;Italy ;WESTERN EUROPE;193;5.94;26700.0
102;Jamaica ;LATIN AMER. & CARIB;250,9;12.36;
103;Japan ;ASIA (EX. NEAR EAST);337,4;3.26;28200.0
104;Jersey ;WESTERN EUROPE;785,2;5.24;24800.0
105;Jordan ;NEAR EAST;64;17.35;4300.0
106;Kazakhstan ;C.W. OF IND. STATES;5,6;29.21;6300.0
107;Kenya ;SUB-SAHARAN AFRICA;59,6;61.47;1000.0
108;Kiribati ;OCEANIA;130;48.52;800.0
109;Korea, North ;ASIA (EX. NEAR EAST);191,8;24.04;1300.0
110;Korea, South ;ASIA (EX. NEAR EAST);496;7.05;17800.0
111;Kuwait ;NEAR EAST;135,7;9.95;19000.0
112;Kyrgyzstan ;C.W. OF IND. STATES;26,3;35.64;1600.0
113;Laos ;ASIA (EX. NEAR EAST);26,9;85.22;
114;Latvia ;BALTICS;35,2;9.55;10200.0
115;Lebanon ;NEAR EAST;372,5;24.52;4800.0
116;Lesotho ;SUB-SAHARAN AFRICA;66,6;84.23;3000.0
117;Liberia ;SUB-SAHARAN AFRICA;27,3;128.87;1000.0
118;Libya ;NORTHERN AFRICA;3,4;24.6;6400.0
